"dataId","query"
1,"3rd International Cafe Equipment Supplies & Technology Exhibition(Cafe Malaysia 2017) http://cafe-malaysia.com/en/page/53/exhibitor-listing-2017.html"
2,"AGRAme http://www.agramiddleeast.com/en/Exhibitors/2017-Exhibitor-List/2017-Exhibitor-List/"
3,"Interphex 2017 - International Pharmaceutical Expo(Interphex 2017) http://www.interphex.com/Show-Info/Exhibitor-List/#"
4,"29th Techno-Classica Essen http://nfm-tce.de/en/exhibitors-details/exhibitors/letter/all/xoffset/0"
5,"Optical Measurement & Positioning EXPO 2017(Positioning EXPO) https://www.opie.jp/list/?en=en"
6,"International Fine Food and Beverage Fair(31st Salon de Gourmets ) http://www.salondegourmets.com/salondeGourmets2017/en/Company/Search"
7,"Expo Clean for Commercial Properties and Hotels 2017(China Clean Expo 2017, CCE 2017) https://www.jetro.go.jp/j-messe/tradefair_en/ChinaClean_52756"
8,"Factory & Production Status Visualization https://jmacv.herokuapp.com/mente2017/webguide/search?language=en"
9,"DELHI Machine Tool Expo 2017 http://www.mtx.co.in/delhi/index.php?page=exhibitors"
10,"International Fashion Jewellery and Accessories Trade Fair(BISUTEX) http://appcatalogo.ifema.es/waCatalogoWeb/index.html?feria=BS17&idioma=en#LEMPRESAS&p=1&t=TODO"
11,"ISSA/INTERCLEAN Amsterdam https://www.intercleanshow.com/products-and-services"
12,"MEAT-TECH 2018 http://www.ipackima.com/en/catalogo-0"
13,"Hardware + Tools Middle East http://www.hardwaretoolsme.com/frankfurt/300/messe-frankfurt/for-visitors/exhibitors-products.aspx"
14,"InfoComm USA http://av-iq.infocommshow.org/avcat/ctl2861/"
15,"Gulfood Manufacturing - Ingredients, Processing & Packaging, Food Logistics (Nov.) http://www.gulfoodmanufacturing.com/exhibitors"
16,"DEAL - Dubai Entertainment Amusement & Leisure Show http://www.dealmiddleeastshow.com/2017/exhibitor-list-2017.php"
17,"ADIPEC http://exhibitors2016.adipec.com/"
18,"Automechanika Buenos Aires http://automechanika.ar.messefrankfurt.com/buenosaires/en/visitors/exhibitors-list.html"
19,"AUTOMEC - HEAVY & COMMERCIAL - International Trade Fair Specialized in Autoparts, Equipments and Services for Vehicles  http://www.automecfeira.com.br/en/Planner/Exhibitors/?preload%5B13576646%5D=direct#"
20,"House & Gift Fair South America https://www.homeandgift.co.uk/exhibitors"
21,"FISP / FISST http://www.fispvirtual.com.br/16/en/lista-de-expositores/"
22,"Swiss Tech http://www.swisstech-messe.ch/htm/ausstellerliste.htm"
23,"EXPONOR http://www.exponor.cl/ingles/exponen.html"
24,"CIPS - China International Pet Show - International Pet and Aquarium trade show in Asia http://en.cipscom.com/exhibitor/"
25,"Analytica China http://www.analyticachina.com/media/website/files/pdf/exhibitor-list.pdf"
26,"HEALTHPLEX EXPO (Shanghai) http://www.hncexpo.com/en/index.php?ac=article&at=list4"
27,"ACLE - All China Leather Exhibition http://apps.ubmasia.com/exhlist/acle16/en/?_ga=1.54454433.800885033.1489656295"
28,"Intertextile Shanghai Home Textiles http://intertextile-shanghai-hometextiles-autumn.hk.messefrankfurt.com/shanghai/en/visitors/exhibitors-and-products/exhibitor-list.html"
29,"Intertextile Pavilion Shenzhen http://intertextile-pavilion-shenzhen.hk.messefrankfurt.com/shenzhen/en/visitors/exhibitors-search.html"
30,"Qingdao Int`l Machine Tools & Moulds Exhibition http://www.chinaexhibition.com/Official_Site/11-6604-The_18th_Qingdao_International_Machine_Tools_and_Moulds_Exhibition_2015.html"
31,"Prolight + Sound Shanghai - International Exhibition of Technologies and Services for Events, Installation and Production http://prolight-sound-shanghai.hk.messefrankfurt.com/shanghai/en/visitors/exhibitors-search/2016exhibitorlist.html"
32,"International Printed Circuit & Electronics Assembly Fair http://www.hkpca-ipc-show.org/2017/en/exhibitor-list.html"
33,"CWIEME China - China West International Equipment Manufacturing Exhibition http://cn.coilwindingexpo.com/en/Page/Frame"
34,"Hong Kong International Printing & Packaging Fair http://m.hktdc.com/fair/exlist/hkprintpackfair-en/Hong-Kong-International-Printing---Packaging-Fair--110069-/List-Of-Exhibitors.htm"
35,"CISMA - China International Sewing Machinery & Accessories Show(CISMA) http://en.cisma.com.cn/index.php/AudienceServices/audience_list/cid/4/pcid/27.html"
36,"Mobile Asia Expo http://www.mwcshanghai.com/exhibition/2017-exhibitors/"
37,"Asia Bike Trade Show http://www.asiabike-show.com/index.php?m=Search&a=exhibitor&t=en"
38,"China Sourcing Fair - Home Products (Spring)() http://www.chinaexhibition.com/Official_Site/11-6898-2015_China_Sourcing_Fair:_Home_Products_(April).html"
39,"GBE - China Billiards Exhibition http://www.chinaexhibition.com/Official_Site/11-8477-GBE_2017_-_The_11th_China_Guangzhou_International_Billiards_Exhibition.html"
40,"HKTDC Hong Kong Houseware Fair http://m.hktdc.com/fair/exlist/hkhousewarefair-en/Hong-Kong-Houseware-Fair--110034-/List-Of-Exhibitors.htm"
41,"China Toy Expo - International Trade Fair for Toys, Hobby & Baby Articles http://www.china-toy-expo.com/en/index.php?m=content&c=index&a=lists&catid=30"
42,"R+T Asia/China Windoors http://www.neureuter.com.hk/ODB14/MenuPageCountry.aspx?code=rtas2016&lang=SC"
43,"Furniture Shangha http://www.furniture-china.cn/blog/en/exhibitor-list/"
44,"Interior Lifestyle China http://interior-lifestyle-china.hk.messefrankfurt.com/shanghai/en/visitors/exhibitors-search/exhibitor-list.html"
45,"China International Composites Industrial Technical Expo http://www.chinacompositesexpo.com/en/netshow.php?show=list&language=en"
46,"China International Public Security Expo (Shenzhen) http://www.securitychina.com.cn/english/2016blh/Exhibitors2014.asp?NF=2016"
47,"China International Occupational Safety & Health Exhibition? http://www.sino-safework.org.cn/en/platform/showall.html"
48,"ANDEAN GAMING TRADE SHOW (FADJA) http://www.fadja.com/eng/expositores.php"
49,"BEAUTY DUSSELDORF http://www.beauty-duesseldorf.com/cgi-bin/md_beauty/lib/pub/tt.cgi/Exhibitor_Index_A-Z.html?oid=42770&lang=2&ticket=g_u_e_s_t"
50,"Bauma http://www.bauma.de/exhibitor-list.html"
51,"CARAVAN SALON http://www.caravan-salon.com/cgi-bin/md_caravan/lib/pub/tt.cgi/Exhibitor_Index_A-Z.html?oid=6884&lang=2&ticket=g_u_e_s_t"
52,"Automechanika Frankfurt   http://automechanika.messefrankfurt.com/frankfurt/en/aussteller/ausstellersuche.html"
53,"BIOTECHNICA http://www.labvolution.de/en/exhibition/exhibitors-products/exhibitor-index/exhibitor-lists.xhtml"
54,"ALUMINIUM - World Trade Fair & Conference https://www.aluminium-messe.com/exhibitor_list_20.html"
55,"iba http://media.iba.de/onlinecatalog/2015/Exhibitorlist"
56,"FESPA - The Launch Platform For Print http://www.cphi.com/europe/exhibitors"
57,"INTERSCHUTZ  http://www.interschutz.de/en/exhibition/exhibitors-products/exhibitor-lists/?n"
58,"EUROSATORY http://www.eurosatory.com/wp-content/uploads/docs/Liste_des_exposants_EUROSATORY_2016_31MAI16_GB-DEF2.pdf"
59,"Expoprotection https://www.expoprotection.com/GB/EXHIBITORS.htm"
60,"Automechanika Birmingham https://www.automechanika-birmingham.com/exhibitors"
61,"CSF Fashion Accessories - China Sourcing Fair: Fashion Accessories  (Spring, Hong Kong) http://www.globalsources.com/trdshw/T/CSF-HONGKONG-FASHION-2017-Apr/trade-show-exhibitor-list/e/2808800043021/.htm?GSEtrack=TSCHKCSFFA_HOME_LATEST_UPDATE&source=TSCHKCSFFA_HOME_LATEST_UPDATE"
62,"China Sourcing Fair - Mobile Electronics(Spring) http://www.globalsources.com/trdshw/T/CSF-HONGKONG-MOBILE-ELECTRONICS-2017-Apr/trade-show-exhibitor-list/e/2808800042957/.htm?source=TSCHKCSFMBE_GV_BOX_HOME"
63,"Asia's Fashion Jewellery & Accessories Fair http://exhibitors.asiafja.com/September-Asia-Fashion-Jewellery-and-Accessoies-Fair-2016/en/"
64,"ALLPACK INDONESIA https://allpack-indonesia.com/exhibiting/exhibitors-list/"
65,"Indo Metal http://www.indometal.net/index.php/exhibitors-products/product-highlights-exhibitors/exhibitors-in-alphabetical-order"
66,"INABIKE - The Indonesia International Bike, Parts & Accessories Exhibition https://drive.google.com/file/d/0B9Hve3DYXGArdllneUV6ZlJNRlU/view?usp=sharing"
67,"Indonesia Maternity Baby & Kids Expo http://www.maternitybaby-expo.co.id/en/Exhibiting/Exhibit-List/"
68,"AllPrint Indonesia Expo - International Exhibition on Printing(pre-press, press, post-press)Machinery, Equipment, Supplies  https://allprint.co.id/exhibiting/exhibitors-list/"
69,"INDO BUILD TECH - INDONESIA BUILDING TECHNOLOGY EXPO  http://www.indobuildtech.com/For-Visitors/Exhibitors-List.aspx"
70,"Grain Tech India http://www.graintechindia.com/exhibitor-list-of-graintechindia.html"
71,"Fastener Fair INDIA  http://www.fastenerfair.com/india/mumbai/english/exhibitor-list/"
72,"Labelexpo India http://www.labelexpo-india.com/exhibitor-list"
73,"InfoComm India  http://www.infocomm-india.com/exhibitor-list-e.php"
74,"Broadcast India - Broadcast India https://www.broadcastindiashow.com/exhibition_exhibitorlist.php"
75,"BC India - A Bauma Conexpo Show http://nfm-bcindia.com/exhibitor-details/exhibitors/letter/all/xoffset/0"
76,"Beauty & Spa Expo http://www.beautyandspaexpo.com/Viewfullcantent.aspx?N=68"
77,"SEMICON Japan http://expo.semi.org/japan2016/Public/exhibitors.aspx?ID=17156&sortMenu=103000&langID=2&__hstc=70133327.f1d71d281f877a1009efa5785a09137e.1490767494094.1490767494094.1490767494094.1&__hssc=70133327.2.1490767494094&__hsfp=4181998690"
78,"CYCLE MODE international (Tokyo) http://www.cyclemode.net/2016/english/exhibitors/"
79,"IFFT / Interior Lifestyle Living http://ifft-interiorlifestyle-living.jp.messefrankfurt.com/tokyo/en/exhibitors/exhibitors-and-products.html"
80,"IFSEC India - Indian Security Exhibition http://www.ifsec.events/india/exhibitors"
81,"SIAL Middle East 2016 http://sialme.com/exhibitor-list"
82,"AUTO ID EXPO http://www.autoid-expo.com/tokyo/en/report/exhibitorslist.php"
83,"Cambodia International Textile and Garment Industrial Fair  https://www.camboexpo.com/ctg/visitorExhibitor.asp"
84,"LUXE PACK - Luxury Goods Packaging Exhibition http://www.luxepack.com/en/visit/exhibitors-list-et-sponsors"
85,"Myanmar International Agriculture Techniques & Equipment Exhibition(MyanmarAgrotech) https://www.myanmar-expo.com/agrofood/visitorExhibitor.asp"
86,"Fastener Fair Mexico http://www.fastenerfair.com/mexico/english/exhibitor-list/"
87,"Semicon Southeast Asia http://expo.semi.org/southeastasia2017/Public/exhibitors.aspx?ID=17572&__hstc=126766418.fbd8985358cbade1ae3f8c236ae381f4.1494905141804.1494905141804.1494905141804.1&__hssc=126766418.1.1494905141805&__hsfp=1530223433"
88,"ECOC (Amsterdam ) - European Conference and Exhibition on Optical Communication http://www.ecocexhibition.com/edirectory/list"
89,"National Ergonomics Conference & Ergo Expo http://s23.a2zinc.net/clients/lrp/ergoexpo2017/Public/exhibitors.aspx"
90,"VIETNAM MEDI-PHARM EXPO (May) - Vietnam International Medical & Pharmaceutical Exhibition http://hn.medipharmexpo.com/en/listexhibition"
91,"ILDEX -vietnam http://www.ildex-vietnam.com/exhibitorlist/"
92,"PROPAK CAPE - Packaging, Processing, Printing and Plastics Expo https://www.propakcape.co.za/exhibitor-directory.php"
93,"Bauma Africa - International Trade Fair for Construction Machinery, Building Meterial Machines, Mining Machines and Construction Vehicles http://exhibitors.bcafrica.com/exhibitor-details/exhibitors/letter/all/xoffset/0"
94,"Automechanika Johannesburg http://www.automechanikasa.co.za/index.php/exhibitors-and-products-2/exhibitor-listing"
